href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,mandarin1,female,"['shanxi', 'province,', 'shanxi,', 'china']","mandarin
(cmn)",['none'],"26,",13.0,academic,['usa'],2.0,26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=257,mandarin2,female,"['nanjing,', 'china']","mandarin
(cmn)","['japanese', '']","38,",14.0,academic,['usa'],0.8,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=258,mandarin3,male,"['jilin', 'city,', 'jilin,', 'china']","mandarin
(cmn)","['italian', 'german', 'french', '']","43,",10.0,academic,['usa'],14.0,43
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=259,mandarin4,female,"['shanghai,', 'china']","mandarin
(cmn)","['japanese', '']","24,",6.0,academic,['usa'],1.0,24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=260,mandarin5,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"31,",12.0,academic,['usa'],2.0,31
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=261,mandarin6,female,"['le', 'shan,', 'sichuan,', 'china']","mandarin
(cmn)",['none'],"28,",12.0,academic,['usa'],5.0,28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=262,mandarin7,male,"['berkeley,', 'california,', 'usa']","mandarin
(cmn)","['mandarin', '']","22,",5.0,naturalistic,['usa'],22.0,22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=430,mandarin8,male,"['jingmen,', 'hubei,', 'china']","mandarin
(cmn)",['none'],"29,",12.0,academic,['usa'],5.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=451,mandarin9,male,"['shanghai,', 'china']","mandarin
(cmn)",['none'],"38,",12.0,academic,['usa'],2.0,38
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,mandarin10,male,"['beijing,', 'china']","mandarin
(cmn)",['none'],"19,",3.0,academic,"['south', 'africa']",3.75,19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=607,mandarin11,female,"['kao-hsiung,', 'taiwan']","mandarin
(cmn)","['cantonese', '']","53,",13.0,academic,['usa'],33.0,53
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=623,mandarin12,male,"['singapore,', 'singapore']","mandarin
(cmn)","['cantonese', 'spanish', 'french', '']","23,",1.0,naturalistic,"['singapore,', 'uk']",23.0,23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=685,mandarin13,male,"['nantou,', 'taiwan']","mandarin
(cmn)","['taiwanese', '']","29,",13.0,academic,[''],0.0,29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=719,mandarin14,male,"['dalian,', 'liaoning,', 'china']","mandarin
(cmn)",['none'],"49,",20.0,academic,['usa'],21.0,49
